datetimes,neighborhoods,titles,addresses,property_types,bedrooms,bathrooms,sqfts,prices,links
2020-08-21 12:50:00,Phoenix,Renovated 1 and 2 Bed Apts w/ washer and dryers,15620 N 25th Ave near Greenway,apartment,1.0,1.0,600.0,980,https://phoenix.craigslist.org/wvl/apa/d/phoenix-renovated-1-and-2-bed-apts/7181737406.html
2020-08-21 12:49:00,Phoenix,Newly Remodeled One Bedroom Available Now,6202 N 16th St,apartment,1.0,1.0,684.0,1125,https://phoenix.craigslist.org/cph/apa/d/phoenix-newly-remodeled-one-bedroom/7181723109.html
2020-08-21 12:49:00,19Th Ave & I17,spacious 2bd/1bth house for rent,19th ave near I17,house,2.0,1.0,900.0,900,https://phoenix.craigslist.org/cph/apa/d/phoenix-spacious-2bd-1bth-house-for-rent/7173234698.html
2020-08-21 12:49:00,Phoenix,Online Rent Payment and Maintenance Requests via Resident App,washington near 54th,apartment,2.0,2.0,865.0,1580,https://phoenix.craigslist.org/nph/apa/d/phoenix-online-rent-payment-and/7181720594.html
2020-08-21 12:49:00,Casa Grande,Amazing 1 bedroom 1 bath unit!!,2060 N Trekell Rd,apartment,1.0,1.0,472.0,880,https://phoenix.craigslist.org/evl/apa/d/casa-grande-amazing-1-bedroom-1-bath/7181728462.html
2020-08-21 12:48:00,Chandler,Wow! You'll love this amazing 3 bed 2 bath in Chandler,1817 N Dobson Rd near Dobson and Warner,apartment,3.0,2.0,1198.0,1620,https://phoenix.craigslist.org/evl/apa/d/chandler-wow-youll-love-this-amazing-3/7181735705.html
2020-08-21 12:42:00,"16356 N. Thompson Peak Parkway, Scottsdale, Az, 85260","Picnic Ramadas with Barbecue Grills, Spacious Walk-in Closets",16356 N. Thompson Peak Parkway near Bell Road,apartment,2.0,2.0,1093.0,1399,https://phoenix.craigslist.org/nph/apa/d/scottsdale-picnic-ramadas-with-barbecue/7181708272.html
2020-08-21 12:41:00,Scottsdale,"Beautiful 2 Bedroom 1 Bath with W/D, Apply Today!!",Thomas RD near Thomas & Civic Center Plaza,apartment,2.0,1.0,850.0,1075,https://phoenix.craigslist.org/evl/apa/d/phoenix-beautiful-2-bedroom-1-bath-with/7181731235.html
2020-08-21 12:41:00,Phoenix,Spacious Modern Living!!!,2620 N. 40th St,apartment,2.0,2.0,1095.0,1345,https://phoenix.craigslist.org/cph/apa/d/phoenix-spacious-modern-living/7181730744.html
2020-08-21 12:40:00,Scottsdale,"Disposal, Clubhouse/Lounge, High Speed Internet Access, Courtyard",1923 N. 70 Th St,apartment,1.0,1.0,610.0,1180,https://phoenix.craigslist.org/evl/apa/d/scottsdale-disposal-clubhouse-lounge/7181730564.html
2020-08-21 12:40:00,"Scottsdale, Arizona",APPLY NOW!!! AVAILABLE NOW!!!,7333 E Chaparral Rd near North Scottsdale Rd,apartment,1.0,1.0,913.0,1475,https://phoenix.craigslist.org/evl/apa/d/scottsdale-apply-now-available-now/7181730296.html
2020-08-21 12:40:00,Phoenix,"Come Visit Today, Wood Style Flooring, Outdoor Grill Area",4221 East Ray Road,apartment,2.0,2.0,1000.0,1479,https://phoenix.craigslist.org/evl/apa/d/phoenix-come-visit-today-wood-style/7181696346.html
